"Idx0","ActiveVoice","PassiveVoice","ba0Act","ba0Pas","ba0ActTot","ba0PasTot"
"i1","['The chef cooked the meal.']","['The meal was cooked by the chef.']","[0.24802616238594055]","[0.1421811878681183]",0.24802616238594055,0.1421811878681183
"i2","['The teacher praised the student.']","['The student was praised by the teacher.']","[0.2835060954093933]","[0.34773051738739014]",0.2835060954093933,0.34773051738739014
"i3","['The storm destroyed the village.']","['The village was destroyed by the storm.']","[-0.11013370007276535]","[-0.15956221520900726]",-0.11013370007276535,-0.15956221520900726
"i4","['She wrote a letter.']","['A letter was written by her.']","[0.06712695211172104]","[0.055579621344804764]",0.06712695211172104,0.055579621344804764
"i5","['They built the bridge.']","['The bridge was built by them.']","[0.18222345411777496]","[0.09893353283405304]",0.18222345411777496,0.09893353283405304
"i6","['The cat chased the mouse.']","['The mouse was chased by the cat.']","[0.20127542316913605]","[0.00562366284430027]",0.20127542316913605,0.00562366284430027
"i7","['John painted the house.']","['The house was painted by John.']","[0.09321779012680054]","[0.026356596499681473]",0.09321779012680054,0.026356596499681473
"i8","['The company released a new product.']","['A new product was released by the company.']","[0.4263879060745239]","[0.29888468980789185]",0.4263879060745239,0.29888468980789185
"i9","['We cleaned the room.']","['The room was cleaned by us.']","[0.1257847398519516]","[0.1396791636943817]",0.1257847398519516,0.1396791636943817
"i10","['She discovered the secret.']","['The secret was discovered by her.']","[0.2599920630455017]","[0.17917460203170776]",0.2599920630455017,0.17917460203170776
"i11","['The dog bit the man.']","['The man was bitten by the dog.']","[0.02835838496685028]","[-0.03963164985179901]",0.02835838496685028,-0.03963164985179901
"i12","['The artist drew a portrait.']","['A portrait was drawn by the artist.']","[0.09628483653068542]","[0.16931238770484924]",0.09628483653068542,0.16931238770484924
"i13","['They solved the problem.']","['The problem was solved by them.']","[0.41524451971054077]","[0.27544447779655457]",0.41524451971054077,0.27544447779655457
"i14","['The farmer harvested the crops.']","['The crops were harvested by the farmer.']","[0.12261715531349182]","[0.049738701432943344]",0.12261715531349182,0.049738701432943344
"i15","['He repaired the car.']","['The car was repaired by him.']","[0.10695010423660278]","[0.09200441837310791]",0.10695010423660278,0.09200441837310791
"i16","['She sang a song.']","['A song was sung by her.']","[0.23346149921417236]","[0.05844802036881447]",0.23346149921417236,0.05844802036881447
"i17","['The scientist conducted an experiment.']","['An experiment was conducted by the scientist.']","[0.27092045545578003]","[0.2044246792793274]",0.27092045545578003,0.2044246792793274
"i18","['They won the match.']","['The match was won by them.']","[0.40624046325683594]","[0.20526443421840668]",0.40624046325683594,0.20526443421840668
"i19","['The child broke the vase.']","['The vase was broken by the child.']","[-0.1438027173280716]","[-0.09354715794324875]",-0.1438027173280716,-0.09354715794324875
"i20","['He delivered the package.']","['The package was delivered by him.']","[0.3119182586669922]","[0.16310293972492218]",0.3119182586669922,0.16310293972492218
"i21","['We launched the campaign.']","['The campaign was launched by us.']","[0.49351125955581665]","[0.48323580622673035]",0.49351125955581665,0.48323580622673035
"i22","['She taught the lesson.']","['The lesson was taught by her.']","[0.32386597990989685]","[0.1943773776292801]",0.32386597990989685,0.1943773776292801
"i23","['The engineer designed the machine.']","['The machine was designed by the engineer.']","[0.3296598196029663]","[0.19682838022708893]",0.3296598196029663,0.19682838022708893
"i24","['They organized the event.']","['The event was organized by them.']","[0.3156452476978302]","[0.24251437187194824]",0.3156452476978302,0.24251437187194824
"i25","['He discovered the solution.']","['The solution was discovered by him.']","[0.4233834147453308]","[0.29938754439353943]",0.4233834147453308,0.29938754439353943
"i26","['The committee approved the proposal.']","['The proposal was approved by the committee.']","[0.3782864809036255]","[0.4030587673187256]",0.3782864809036255,0.4030587673187256
"i27","['She cleaned the house.']","['The house was cleaned by her.']","[0.21057085692882538]","[0.10354024171829224]",0.21057085692882538,0.10354024171829224
"i28","['They opened the new store.']","['The new store was opened by them.']","[0.17866434156894684]","[0.1568780243396759]",0.17866434156894684,0.1568780243396759
"i29","['He wrote the book.']","['The book was written by him.']","[0.23982416093349457]","[0.1267082840204239]",0.23982416093349457,0.1267082840204239
